Source,Target,Type,Weight
1,18,unweighted,1
1,19,unweighted,1
1,20,unweighted,1
1,21,unweighted,1
1,22,unweighted,1
1,23,unweighted,1
1,24,unweighted,1
1,25,unweighted,1
1,26,unweighted,1
1,27,unweighted,1
1,28,unweighted,1
1,29,unweighted,1
1,30,unweighted,1
1,31,unweighted,1
1,32,unweighted,1
1,33,unweighted,1
1,34,unweighted,1
1,35,unweighted,1
1,36,unweighted,1
1,37,unweighted,1
1,38,unweighted,1
1,39,unweighted,1
1,40,unweighted,1
1,41,unweighted,1
1,42,unweighted,1
1,43,unweighted,1
1,44,unweighted,1
1,200,unweighted,1
1,45,unweighted,1
1,46,unweighted,1
1,47,unweighted,1
1,48,unweighted,1
1,49,unweighted,1
1,50,unweighted,1
1,201,unweighted,1
1,17,unweighted,1
1,51,unweighted,1
1,52,unweighted,1
1,53,unweighted,1
1,54,unweighted,1
1,55,unweighted,1
1,56,unweighted,1
1,57,unweighted,1
1,58,unweighted,1
1,59,unweighted,1
1,60,unweighted,1
1,61,unweighted,1
1,62,unweighted,1
1,63,unweighted,1
1,64,unweighted,1
1,65,unweighted,1
1,66,unweighted,1
1,67,unweighted,1
1,68,unweighted,1
1,69,unweighted,1
1,70,unweighted,1
1,71,unweighted,1
1,72,unweighted,1
1,73,unweighted,1
1,74,unweighted,1
1,75,unweighted,1
1,76,unweighted,1
1,77,unweighted,1
1,78,unweighted,1
1,79,unweighted,1
1,80,unweighted,1
1,81,unweighted,1
1,82,unweighted,1
1,83,unweighted,1
1,84,unweighted,1
1,85,unweighted,1
1,86,unweighted,1
1,202,unweighted,1
1,87,unweighted,1
1,88,unweighted,1
1,89,unweighted,1
1,90,unweighted,1
1,91,unweighted,1
1,92,unweighted,1
1,93,unweighted,1
1,94,unweighted,1
1,95,unweighted,1
1,96,unweighted,1
1,97,unweighted,1
1,98,unweighted,1
1,99,unweighted,1
1,100,unweighted,1
1,101,unweighted,1
1,102,unweighted,1
1,203,unweighted,1
1,103,unweighted,1
1,104,unweighted,1
1,105,unweighted,1
1,106,unweighted,1
1,107,unweighted,1
1,108,unweighted,1
1,109,unweighted,1
1,110,unweighted,1
1,111,unweighted,1
1,112,unweighted,1
1,113,unweighted,1
1,114,unweighted,1
1,115,unweighted,1
1,116,unweighted,1
1,117,unweighted,1
1,118,unweighted,1
1,119,unweighted,1
1,120,unweighted,1
1,121,unweighted,1
1,122,unweighted,1
1,123,unweighted,1
1,124,unweighted,1
1,125,unweighted,1
1,126,unweighted,1
1,127,unweighted,1
1,128,unweighted,1
1,129,unweighted,1
1,130,unweighted,1
1,131,unweighted,1
1,132,unweighted,1
1,133,unweighted,1
1,134,unweighted,1
1,135,unweighted,1
1,136,unweighted,1
1,137,unweighted,1
1,138,unweighted,1
1,139,unweighted,1
1,140,unweighted,1
1,141,unweighted,1
1,142,unweighted,1
1,143,unweighted,1
1,144,unweighted,1
1,145,unweighted,1
1,146,unweighted,1
1,147,unweighted,1
1,148,unweighted,1
1,149,unweighted,1
1,150,unweighted,1
1,151,unweighted,1
1,152,unweighted,1
1,153,unweighted,1
1,154,unweighted,1
1,155,unweighted,1
1,156,unweighted,1
1,157,unweighted,1
1,158,unweighted,1
1,159,unweighted,1
1,160,unweighted,1
1,161,unweighted,1
1,162,unweighted,1
1,163,unweighted,1
1,164,unweighted,1
1,165,unweighted,1
1,166,unweighted,1
1,167,unweighted,1
1,168,unweighted,1
1,169,unweighted,1
1,170,unweighted,1
1,171,unweighted,1
1,172,unweighted,1
1,173,unweighted,1
1,174,unweighted,1
1,175,unweighted,1
1,176,unweighted,1
1,177,unweighted,1
1,178,unweighted,1
1,179,unweighted,1
1,180,unweighted,1
1,181,unweighted,1
1,182,unweighted,1
1,183,unweighted,1
1,184,unweighted,1
1,185,unweighted,1
1,186,unweighted,1
1,187,unweighted,1
1,188,unweighted,1
1,189,unweighted,1
1,190,unweighted,1
1,191,unweighted,1
1,192,unweighted,1
1,193,unweighted,1
1,194,unweighted,1
1,195,unweighted,1
1,196,unweighted,1
1,197,unweighted,1
1,198,unweighted,1
1,199,unweighted,1
1,204,unweighted,1
1,205,unweighted,1
1,206,unweighted,1
1,207,unweighted,1
1,208,unweighted,1
1,209,unweighted,1
1,210,unweighted,1
1,40,unweighted,1
1,211,unweighted,1
1,212,unweighted,1
1,213,unweighted,1
1,214,unweighted,1
1,215,unweighted,1
1,216,unweighted,1
1,217,unweighted,1
1,218,unweighted,1
1,219,unweighted,1
1,220,unweighted,1
1,221,unweighted,1
1,222,unweighted,1
1,223,unweighted,1
1,224,unweighted,1
1,225,unweighted,1
1,226,unweighted,1
1,227,unweighted,1
1,95,unweighted,1
1,51,unweighted,1
1,228,unweighted,1
1,229,unweighted,1
1,230,unweighted,1
1,89,unweighted,1
1,134,unweighted,1
1,231,unweighted,1
1,232,unweighted,1
1,233,unweighted,1
1,234,unweighted,1
1,235,unweighted,1
1,236,unweighted,1
1,237,unweighted,1
1,165,unweighted,1
1,238,unweighted,1
1,239,unweighted,1
1,240,unweighted,1
1,241,unweighted,1
1,242,unweighted,1
1,243,unweighted,1
1,244,unweighted,1
1,245,unweighted,1
1,246,unweighted,1
1,247,unweighted,1
1,248,unweighted,1
1,249,unweighted,1
1,250,unweighted,1
1,6,unweighted,1
1,7,unweighted,1
1,8,unweighted,1
1,9,unweighted,1
1,10,unweighted,1
1,11,unweighted,1
1,12,unweighted,1
1,251,unweighted,1
1,252,unweighted,1
1,253,unweighted,1
1,140,unweighted,1
1,254,unweighted,1
1,255,unweighted,1
1,256,unweighted,1
1,257,unweighted,1
1,258,unweighted,1
1,259,unweighted,1
1,2,unweighted,1
1,260,unweighted,1
1,3,unweighted,1
1,4,unweighted,1
1,261,unweighted,1
1,5,unweighted,1
1,262,unweighted,1
1,263,unweighted,1
1,264,unweighted,1
1,2,unweighted,1
1,5,unweighted,1
1,6,unweighted,1
1,8,unweighted,1
